Hu,Li,Co2,Hu Ratio, Oc,class
21.79,31,437.3333333,1000,0.005008581,1
21.7675,31.1225,434,1003.75,0.005021569,0
21.7675,31.1225,439,1009.5,0.005021569,1
21.79,31.13333333,437.3333333,1005.666667,0.005030298,1
21.76,31.26,437.3333333,1014.333333,0.005041605,1
21.79,31.1975,434,1018.5,0.005040749,1
21.79,31.39333333,437.3333333,1018.666667,0.005072649,1
21.79,31.3175,434,1022,0.005060296,1
21.79,31.46333333,437.3333333,1027.333333,0.005084053,0
21.79,31.525,437.75,1047.75,0.005094099,1
21.79,31.575,441.75,1049,0.005102244,1
21.79,31.395,442,1061.5,0.005072921,1
21.79,31.3925,441.75,1049,0.005072514,1
21.79,31.5,441.5,1048,0.005090026,1
21.815,31.5,438,1049.25,0.005097869,1
21.815,31.4725,449.5,1051.25,0.005093382,0
21.89,31.6,449.5,1060.5,0.005137857,1
21.79,31.55,449.5,1059.5,0.005098172,1
21.82333333,31.73,447.6666667,1072,0.005138035,1
21.865,31.7225,449.5,1072.333333,0.005150007,1
21.89,31.745,449.5,1075.333333,0.005161628,0
21.89,31.7675,449.5,1087,0.005165317,1
21.89,31.7675,437.75,1083.25,0.005165317,1
21.89,31.79,442.6666667,1086.333333,0.005169006,1
21.89,31.79,437.3333333,1091,0.005169006,1
21.89,31.89,439,1100,0.005185401,1
21.89,31.89,444,1101,0.005185401,1
21.89,31.865,444,1107,0.005181302,1
21.7,28.76,0,578,0.004618306,0
21.7,28.79,0,584,0.004623159,0
21.7,28.79,0,586.5,0.004623159,0
21.7,28.84,0,587.5,0.004631248,0
21.7,28.86,0,586,0.004634483,0
21.7,28.86,0,592.3333333,0.004634483,0
21.7,28.79,0,590,0.004623159,0
21.6,28.895,0,590,0.004611643,0
21.63333333,28.79,0,590.5,0.00460421,0
21.6,28.73,0,593.5,0.004585114,0
21.6,28.79,0,595,0.004594761,0
21.6,28.79,0,594.6666667,0.004594761,0
21.55,28.79,0,593,0.00458062,1
21.6,28.79,0,582.5,0.004594761,0
21.6,28.79,0,579.5,0.004594761,0
21.6,28.79,0,588,0.004594761,0
21.5,28.84,0,596.5,0.004574506,1
21.5,28.82333333,0,622.3333333,0.004571843,0
21.5,28.79,0,606,0.004566517,0
21.5,29.6,0,605,0.004695965,0
21.5,28.995,0,642.5,0.004599273,0
21.39,29.015,0,604.25,0.004571333,0
21.39,29.445,0,596,0.004639585,0
21.39,29.2,0,612,0.004600696,1
21.39,29.1,0,720.5,0.004584824,0
21.32333333,29.33,0,1760,0.004602344,0
21.29,29,0,1665,0.004540823,0
21.29,29.03,0,1255.666667,0.004545555,0
21.29,29.2,0,724,0.00457237,0
21.29,29.1,0,619,0.004556596,1
21.29,29.9,0,562.5,0.004682806,0
21.29,29.92666667,0,582,0.004687014,0
21.29,29.8,0,616,0.004667027,0
21.245,29.55,0,648.5,0.004614732,0
